ID CUSTOMER;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
1680VDCWW;Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);198;20225;No
1066JKSGK;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2015;2015;Yes
3638WEABW;Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);599;35051;No
6322HRPFA;Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);596;29703;No
6865JZNKO;Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);553;15306;No
6467CHFZW;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9935;474915;Yes
8665UTDHZ;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;302;302;Yes
5248YGIJN;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);9025;636945;No
8773HHUOZ;Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;647;10931;Yes
3841NFECX;Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);9635;676695;No
4929XIHVW;Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);955;18165;No
6827IEAUQ;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;6615;187445;No
7310EGVHZ;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);202;202;No
3413BMNZE;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);4525;4525;No
6234RAAPL;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);999;72517;No
6047YHPVI;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;697;3169;Yes
6572ADKRS;Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);748;35483;No
5380WJKOV;Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10635;354925;Yes
8168UQWWF;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);9785;11054;Yes
8865TNMNX;Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;4955;4757;No
9489DEDVP;Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);692;487235;No
9867JCZSP;Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2075;41825;No
4671VJLCL;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);7985;486145;No
4080IIARD;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;762;98145;No
3714NTNFO;Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;845;39067;No
5948UJZLF;Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;4925;97;No
7760OYPDY;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8065;14415;Yes
7639LIAYI;Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);7975;42178;No
2954PIBKO;Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);6415;42541;No
8012SOUDQ;Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9025;383875;No
9420LOJKX;Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);991;14264;Yes
6575SUVOI;Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);695;175265;No
7495OOKFY;Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);8065;6333;Yes
4667QONEA;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);7485;445635;No
1658BYGOY;Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9545;175255;Yes
8769KKTPH;Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);9965;63112;No
5067XJQFU;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;10845;707635;No
3957SQXML;Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2495;8943;No
5954BDFSG;Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1075;78537;No
0434CSFON;Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1005;47071;No
1215FIGMP;Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);899;54507;No
0526SXDJP;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);421;2962;No
0557ASKVU;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);544;9571;No
5698BQJOH;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;944;85725;Yes
5122CYFXA;Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;753;2441;No
8627ZYGSZ;Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;789;365035;No
3410YOQBQ;Female;0;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;792;24972;No
3170NMYVV;Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2015;9309;No
7410OIEDU;Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;7985;88735;No
2273QCKXA;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;4905;4905;No
0731EBJQB;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;204;109065;No
1891QRQSA;Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1116;7099;No
8028PNXHQ;Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);2425;14246;No
5630AHZIL;Female;0;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);645;1774;No
2673CXQEU;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;1105;61395;No
6416JNVRK;Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);5565;268885;No
5590ZSKRV;Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;5465;48225;No
0191ZHSKZ;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;7475;21113;No
3887PBQAO;Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);259;12166;No
5919TMRGD;Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;7935;7935;Yes
8108UXRQN;Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;5055;56535;No
9191MYQKX;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7515;4969;Yes
9919YLNNG;Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1038;43275;No
0318ZOPWS;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);2015;97335;No
4445ZJNMU;Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);993;91875;No
4808YNLEU;Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);6215;221545;No
1862QRWPE;Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2065;1057;No
2796NNUFI;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;1995;9271;No
3016KSVCP;Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;3375;100925;No
4767HZZHQ;Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);8205;25702;No
2424WVHPL;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;747;747;No
7233PAHHL;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84;571425;No
6067NGCEU;Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);11105;7107;No
9848JQJTX;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);1009;745905;No
8637XJIVR;Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;7895;92735;Yes
9803FTJCG;Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);6685;47487;No
0278YXOOG;Male;0;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2105;11385;Yes
3212KXOCR;Male;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21;11072;No
4598XLKNJ;Female;1;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;985;25145;Yes
6380ARCEH;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;202;202;No
3679XASPY;Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;1945;1945;No
7123WQUHX;Male;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95;36056;No
5386THSLQ;Female;1;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);4555;302725;No
3192NQECA;Male;0;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;761185;Yes
6180YBIQI;Male;0;No;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;243;1002;No
6728DKUCO;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;10415;730305;No
9750BOOHV;Female;0;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;3015;92765;No
8597CWYHH;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;9435;39213;No
2848YXSMW;Male;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);194;136325;No
0486HECZI;Male;0;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9675;52389;Yes
4549ZDQYY;Female;0;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);5795;304225;No
5712AHQNN;Female;0;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;9165;39541;No
4846WHAFZ;Female;1;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;765;286815;Yes
5256SKJGO;Female;0;Yes;Yes;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;546;34235;No
3071VBYPO;Male;0;Yes;Yes;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;8985;2484;No
9560BBZXK;Female;0;No;No;36;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);3105;112635;No
5299RULOA;Female;0;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;10025;106465;Yes
8402OOOHJ;Female;0;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;2065;83515;No
9445ZUEQE;Male;0;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);852;21516;No
1091SOZGA;Female;0;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);998;551545;No
2928HLDBA;Female;0;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;207;11275;No
0404SWRVG;Male;0;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;744;22955;Yes
6497TILVL;Female;0;Yes;Yes;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;507;35035;No
7219TLZHO;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2085;629;No
4622YNKIJ;Male;0;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check;8895;302765;No
4412YLTKF;Female;1;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;7805;21355;Yes
6734PSBAW;Male;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);2355;172395;No
3930ZGWVE;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1975;1975;No
2639UGMAZ;Male;1;No;No;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;5645;398535;No
2876GZYZC;Female;0;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8595;121565;No
6207WIOLX;Female;0;Yes;Yes;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);586;150265;Yes
8587XYZSF;Male;0;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);5055;32601;No
3091FYHKI;Male;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;3545;3545;Yes
2372HWUHI;Male;0;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;4435;8125;Yes
7799LGRDP;Female;0;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);257;11882;No
7850VWJUU;Female;0;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75;17785;No
3774VBNXY;Female;0;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;202;127775;No
6217KDYWC;Male;0;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;196;117055;No
0390DCFDQ;Female;1;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7045;7045;Yes
3146MSEGF;Female;1;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);8805;642565;No
4080OGPJL;Female;0;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;7115;56365;Yes
1095WGNGG;Female;0;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);10105;597125;No
2636SJDOU;Male;0;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic);843;528905;No
1131QQZEB;Male;1;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2395;17562;No
5716EZXZN;Female;0;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);9905;64167;No
6837BJYDQ;Male;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;196;6135;No
2135RXIHG;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;4565;4565;Yes
6440DKQGE;Male;0;No;Yes;30;Yes;No;DSL;No;Yes;Yes;No;Yes;No;One year;No;Credit card (automatic);645;192995;No
3466BYAVD;Male;0;Yes;Yes;15;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Mailed check;695;10714;No
3780YVMFA;Female;0;Yes;Yes;8;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;6855;56435;No
3874EQOEP;Male;0;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;95;6555;Yes
1679JRFBR;Female;0;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);10815;793055;No
9073ZZIAY;Male;0;Yes;Yes;62;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;861;521525;No
3077RSNTJ;Female;0;Yes;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;197;1135;No
6551GNYDG;Female;0;Yes;Yes;14;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);809;11528;No
9167APMXZ;Female;0;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8415;182195;No
2749CTKAJ;Male;0;Yes;Yes;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2015;4199;No
6371NZYEG;Male;0;Yes;Yes;16;Yes;No;DSL;Yes;No;Yes;No;Yes;No;Two year;No;Mailed check;6425;1024;No
7554NEWDD;Male;0;No;No;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);257;2516;No
8992VONJD;Female;0;No;Yes;13;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;56;76455;No
0867MKZVY;Female;0;Yes;No;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;824;159235;Yes
4482EWFMI;Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;697;1352;No
4648YPBTM;Male;0;No;No;53;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);739;395825;No
2907ILJBN;Female;0;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;206;2339;No
6345FZOQH;Male;0;Yes;No;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;199;136345;No
3376BMGFE;Female;0;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);709;273;Yes
5997OPVFA;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);8905;625445;No
3445HXXGF;Male;1;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;453;26512;Yes
1159WFSGR;Female;0;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;204;3214;No
7654YWJUF;Male;0;Yes;No;43;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;No;One year;Yes;Bank transfer (automatic);8425;353925;No
1875QIVME;Female;0;Yes;No;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1044;2428;Yes
6727IOTLZ;Male;0;Yes;No;14;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;8195;118175;No
0691JVSYA;Female;0;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);9485;50002;Yes
5918VUKWP;Female;0;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);2055;65455;No
1744JHKYS;Female;0;Yes;No;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;247;7802;No
2656FMOKZ;Female;1;No;No;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7445;11457;Yes
2070FNEXE;Female;1;No;No;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);7645;5036;Yes
